City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Fomboni,KM,83.07,few clouds,-12.28,43.7425,Auberge les abou
111,Los Llanos De Aridane,ES,60.8,few clouds,28.6585,-17.9182,Valle Aridane
113,Saint-Pierre,RE,80.6,broken clouds,-21.3393,55.4781,Lindsey Hôtel
114,San Patricio,US,78.8,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
115,Ibitinga,BR,75.61,moderate rain,-21.7578,-48.8289,Hotel Pousada Vivenda do Portal
118,Butaritari,KI,79.63,light rain,3.0707,172.7902,Isles Sunset Lodge
119,Sweetwater,US,68.0,broken clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
120,Sumbe,AO,75.54,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
121,Lompoc,US,62.6,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
122,Diplo,PK,60.78,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
123,Arlit,NE,64.76,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
125,Lata,PT,52.0,overcast clouds,40.1629,-8.3327,Casa Maquia
126,Comodoro Rivadavia,AR,75.25,clear sky,-45.8667,-67.5,Austral Hotel
127,Fort-Shevchenko,KZ,43.77,overcast clouds,44.5086,50.263000000000005,Oasis hotel Bautino
128,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
129,Kapaa,US,71.6,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
130,Bac Lieu,VN,75.6,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
133,Hambantota,LK,75.15,overcast clouds,6.1241,81.1185,Bungalow 63
134,Kruisfontein,ZA,64.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
135,Touros,BR,80.6,clear sky,-5.1989,-35.4608,INN NEW HORIZON
136,Tatawin,TN,57.2,scattered clouds,32.9297,10.4518,Sangho Privilege Tataouine
137,Bhawanipatna,IN,53.78,scattered clouds,19.9,83.1667,Bhagirathi inn
140,Poso,ID,80.01,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
141,Dese,ET,50.04,clear sky,11.1333,39.6333,Joamla Hotel
142,Alice Springs,AU,73.4,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
143,Ipixuna,BR,77.0,broken clouds,-1.7625,-48.8043,Casa da Oscarina
144,Marietta,US,51.8,overcast clouds,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
145,Flinders,AU,82.0,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
147,Guia De Isora,ES,61.0,few clouds,28.2115,-16.7795,La Vista Pension
148,Quatre Cocos,MU,79.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
150,Finschhafen,PG,84.33,overcast clouds,-6.6024,147.8681,Cossam Guest House
151,Georgetown,MY,75.2,few clouds,5.4112,100.3354,Cititel Penang
152,Axim,GH,79.52,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
153,San Carlos,VE,83.21,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
154,Banda Aceh,ID,76.82,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
155,Kiunga,PG,78.33,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
157,Saiha,IN,51.94,clear sky,22.4833,92.9667,"Circuit House, Siaha"
158,Herveo,CO,60.8,broken clouds,5.0833,-75.1667,Hospedaje y restaurante Jessi
159,Jablah,SY,57.13,broken clouds,35.3614,35.9256,مدرسة سعد بن ابي وقاص الابتدائيه
160,Kahului,US,73.4,broken clouds,20.8947,-156.47,Maui Seaside Hotel
162,Hasaki,JP,41.0,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
164,Praya,CV,69.8,broken clouds,14.9215,-23.5087,LT Aparthotel
