,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Kaitangata,NZ,-46.2817,169.8464,59.0,68,32,17.0,scattered clouds
349,Sistranda,NO,63.7256,8.834,14.0,92,20,13.8,few clouds
350,Buala,SB,-8.145,159.5921,83.95,76,24,9.26,light rain
351,Ust-Omchug,RU,61.15,149.6333,-13.86,85,99,7.49,overcast clouds
352,San Carlos De Bariloche,AR,-41.1456,-71.3082,80.6,16,0,6.91,clear sky
353,Wanaka,NZ,-44.7,169.15,68.88,55,58,3.13,broken clouds
354,Isiro,CD,2.7739,27.616,70.66,69,73,3.6,broken clouds
355,Talnakh,RU,69.4865,88.3972,-22.43,86,100,1.45,overcast clouds
356,Port Hardy,CA,50.6996,-127.4199,42.8,100,90,4.61,moderate rain
357,Palmer,US,42.1584,-72.3287,27.0,81,41,1.48,scattered clouds
358,Vao,NC,-22.6667,167.4833,78.73,87,32,20.51,light rain
359,Carauari,BR,-4.8828,-66.8958,76.89,93,99,1.68,moderate rain
360,Masterton,NZ,-40.9597,175.6575,68.0,59,98,5.99,overcast clouds
361,Nueva Loja,EC,0.0847,-76.8828,74.57,92,84,2.51,moderate rain
362,La Rioja,ES,42.25,-2.5,44.6,93,0,1.14,clear sky
363,Lagoa,PT,39.05,-27.9833,54.86,73,25,21.52,scattered clouds
364,Bealanana,MG,-14.55,48.7333,64.44,93,100,1.43,overcast clouds
365,Bambanglipuro,ID,-7.95,110.2833,79.0,82,93,3.65,overcast clouds
366,Hirara,JP,24.8,125.2833,62.6,72,20,5.75,few clouds
367,Vanimo,PG,-2.6741,141.3028,84.99,66,16,2.89,few clouds
368,Baykit,RU,61.67,96.37,-2.6,88,99,2.73,overcast clouds
369,San-Pedro,CI,4.7485,-6.6363,78.64,89,8,8.08,clear sky
370,Mangrol,IN,21.1167,70.1167,64.71,60,0,12.28,clear sky
371,Ulaanbaatar,MN,47.9077,106.8832,-0.4,85,40,2.24,scattered clouds
372,Sioux Lookout,CA,50.1001,-91.917,12.2,79,90,11.5,light snow
373,Pavlogradka,RU,54.2024,73.5592,15.19,97,91,8.14,overcast clouds
374,Ibotirama,BR,-12.1853,-43.2206,74.26,83,95,2.08,overcast clouds
375,Bay Roberts,CA,47.5999,-53.2648,41.0,100,90,2.3,fog
376,Grindavik,IS,63.8424,-22.4338,37.4,87,75,26.46,broken clouds
377,Vermilion,US,40.1667,-87.7506,37.4,93,90,23.02,light rain
378,Mitu,CO,1.1983,-70.1733,73.09,97,96,1.5,overcast clouds
379,Bilibino,RU,68.0546,166.4372,-16.19,78,49,9.4,scattered clouds
380,Sitka,US,57.0531,-135.33,37.4,93,40,14.97,scattered clouds
381,Puerto Madero,MX,14.7208,-92.4215,82.4,65,75,5.75,broken clouds
382,Stromness,GB,58.965,-3.296,37.4,65,75,23.02,broken clouds
383,Araouane,ML,18.9048,-3.5265,74.97,15,93,7.83,overcast clouds
384,Kenai,US,60.5544,-151.2583,19.4,86,90,8.05,overcast clouds
385,Marysville,US,48.0518,-122.1771,44.01,100,90,9.22,overcast clouds
386,Anshan,CN,41.1236,122.99,27.19,89,0,11.16,clear sky
387,Chuy,UY,-33.6971,-53.4616,64.98,84,62,13.02,broken clouds
388,Domoni,KM,-12.2569,44.5319,80.31,77,87,4.38,overcast clouds
389,Kirya,TZ,-3.9167,37.4833,70.18,86,87,1.43,overcast clouds
390,Fecamp,FR,49.7579,0.3746,46.4,93,0,8.05,clear sky
391,Merauke,ID,-8.4667,140.3333,81.43,84,96,13.6,overcast clouds
392,Port Blair,IN,11.6667,92.75,77.94,82,0,9.26,clear sky
393,Kempele,FI,64.9131,25.5034,5.0,92,0,4.61,clear sky
394,Ahuimanu,US,21.4447,-157.8378,73.4,53,90,11.5,overcast clouds
395,Denpasar,ID,-8.65,115.2167,80.6,89,20,5.75,few clouds
396,Catuday,PH,16.2923,119.8062,76.32,72,78,9.8,broken clouds
397,Margate,GB,51.3813,1.3862,46.99,90,79,4.0,broken clouds
398,Fortuna,US,40.5982,-124.1573,55.0,71,1,11.5,clear sky
399,Severo-Yeniseyskiy,RU,60.3725,93.0408,-3.51,93,96,5.5,overcast clouds
400,Mount Gambier,AU,-37.8333,140.7667,59.0,82,75,17.27,broken clouds
401,Boa Vista,BR,2.8197,-60.6733,80.6,78,75,5.75,light rain
402,Chalons-En-Champagne,FR,48.9539,4.3672,44.6,93,0,5.75,clear sky
403,Uruguaiana,BR,-29.7547,-57.0883,71.6,68,0,12.66,clear sky
404,Vokhma,RU,58.9303,46.7586,9.88,96,100,3.2,snow
405,Shiraoka,JP,36.0167,139.6667,45.0,39,0,8.19,clear sky
406,Amnat Charoen,TH,15.9167,104.75,62.49,92,0,10.22,clear sky
407,Manta,EC,-0.95,-80.7333,77.0,94,90,3.44,overcast clouds
408,Mapiripan,CO,2.8892,-72.1256,77.05,85,90,5.91,overcast clouds
409,Katangli,RU,51.7102,143.2326,-9.06,87,100,15.99,overcast clouds
410,Karratha,AU,-20.7377,116.8463,82.54,76,33,12.5,light rain
411,Adeje,ES,28.1227,-16.726,61.0,41,20,8.05,light rain
412,Oskarshamn,SE,57.2645,16.4484,16.0,92,61,5.75,broken clouds
413,Kaduy,RU,59.2,37.15,0.05,93,17,5.46,few clouds
414,Fairbanks,US,64.8378,-147.7164,-14.01,76,20,3.44,few clouds
415,Turukhansk,RU,65.8167,87.9833,-18.15,89,100,5.99,overcast clouds
416,Loandjili,CG,-4.7561,11.8578,75.2,88,40,4.61,light rain
417,Elizabeth City,US,36.2946,-76.2511,42.8,36,1,3.44,clear sky
418,Kohlu,PK,29.8962,69.252,42.67,56,0,3.13,clear sky
419,Severo-Kurilsk,RU,50.6789,156.125,11.88,88,77,10.85,light snow
420,Teberda,RU,43.4456,41.7448,36.18,78,87,10.33,overcast clouds
421,Chirkey,RU,42.9613,46.9787,39.2,93,90,8.95,fog
422,Gaborone,BW,-24.6545,25.9086,69.8,100,75,4.61,broken clouds
423,Coachella,US,33.6803,-116.1739,75.2,12,1,6.91,clear sky
424,Yambio,SS,4.5721,28.3955,80.19,35,90,4.09,overcast clouds
425,Aosta,IT,45.7667,7.4167,41.0,93,58,0.45,broken clouds
426,Bolshaya Dzhalga,RU,45.9695,42.6966,49.71,61,90,8.59,light rain
427,Genc,TR,38.7507,40.5603,33.85,86,57,3.69,broken clouds
428,Pizhanka,RU,57.4604,48.542,26.98,99,100,3.09,snow
429,Wanning,CN,18.8003,110.3967,66.9,85,43,5.19,scattered clouds
430,Tarakan,ID,3.3,117.6333,77.0,94,40,1.14,haze
431,Senanga,ZM,-16.1167,23.2667,67.41,88,84,2.3,broken clouds
432,Tupiza,BO,-21.45,-65.7167,58.55,65,100,7.96,overcast clouds
433,Sabang,ID,5.8933,95.3214,81.23,77,39,21.63,scattered clouds
434,Iracoubo,GF,5.4802,-53.2011,77.54,79,98,13.96,overcast clouds
435,Faanui,PF,-16.4833,-151.75,81.19,69,15,7.18,few clouds
436,Muravlenko,RU,63.7898,74.523,-17.09,89,25,6.58,scattered clouds
437,Lerwick,GB,60.1545,-1.1494,35.6,55,40,16.11,scattered clouds
438,Itarema,BR,-2.9248,-39.9167,78.57,79,78,12.06,broken clouds
439,Malakal,SS,9.5334,31.6605,78.37,18,0,11.48,clear sky
440,Seydi,TM,39.4816,62.9137,47.75,69,86,11.9,overcast clouds
441,Tilichiki,RU,60.4667,166.1,-4.22,93,68,16.02,broken clouds
442,Novyy Urengoy,RU,66.0833,76.6333,-20.22,88,89,8.34,overcast clouds
443,Agua Dulce,MX,18.1333,-94.1333,77.0,65,1,6.91,clear sky
444,Jutai,BR,-5.1833,-68.9,76.23,93,100,1.12,overcast clouds
445,Warmbad,NA,-28.45,18.7333,75.56,27,0,11.83,clear sky
446,Ancud,CL,-41.8697,-73.8203,77.0,38,0,11.5,clear sky
447,Beysehir,TR,37.6773,31.7246,42.17,66,0,2.1,clear sky
448,Ballina,AU,-28.8667,153.5667,78.8,69,75,10.36,broken clouds
449,Santa Isabel,BR,-23.3156,-46.2214,84.2,65,0,4.61,light rain
450,Songkhla,TH,6.8333,100.6667,71.6,100,20,3.78,few clouds
451,Saint Anthony,US,45.0205,-93.218,17.6,67,1,17.27,clear sky
452,Codrington,AU,-38.2667,141.9667,55.58,80,100,11.77,light rain
453,Verkhnyaya Inta,RU,65.9811,60.3094,-5.57,90,63,10.54,broken clouds
454,Walvis Bay,NA,-22.9575,14.5053,64.99,82,5,4.61,clear sky
455,Zyryanka,RU,65.75,150.85,-11.04,89,100,20.4,light snow
456,Ouesso,CG,1.6136,16.0517,74.71,83,43,2.1,scattered clouds
457,Turan,VN,16.0678,108.2208,73.4,78,75,3.44,broken clouds
458,Itaueira,BR,-7.6033,-43.0256,78.06,67,18,3.53,few clouds
459,Genhe,CN,50.7833,121.5167,-8.19,89,99,1.9,overcast clouds
460,Kailua,US,21.4022,-157.7394,73.4,53,90,11.5,overcast clouds
461,Port-Gentil,GA,-0.7193,8.7815,82.4,89,40,9.22,scattered clouds
462,Cidreira,BR,-30.1811,-50.2056,69.22,71,45,15.93,scattered clouds
463,Capanema,BR,-1.1958,-47.1808,76.26,88,76,3.94,broken clouds
464,Port Macquarie,AU,-31.4333,152.9167,82.99,58,13,1.99,few clouds
465,Gondanglegi,ID,-7.7479,112.0132,77.4,87,39,9.93,scattered clouds
466,Ankazoabo,MG,-22.2833,44.5167,75.65,82,97,2.89,overcast clouds
467,Luanda,AO,-8.8368,13.2343,80.6,78,75,6.91,broken clouds
468,Changping,CN,40.2186,116.2197,35.01,50,0,4.47,clear sky
469,Araras,BR,-22.3569,-47.3842,73.44,89,97,4.27,overcast clouds
470,Haines Junction,CA,60.7522,-137.5108,-9.4,54,94,1.14,overcast clouds
471,Umea,SE,63.8284,20.2597,21.2,86,40,9.22,scattered clouds
472,Barcelos,PT,41.5388,-8.6151,48.99,93,99,5.75,fog
473,Vila Velha,BR,-20.3297,-40.2925,79.0,83,0,16.11,clear sky
474,Gidole,ET,5.65,37.3667,57.78,40,0,3.78,clear sky
475,Sola,VU,-13.8833,167.55,87.8,70,75,5.75,broken clouds
476,Xining,CN,36.6167,101.7667,17.24,65,0,2.3,clear sky
477,Kalianget,ID,-7.05,113.9333,80.8,81,98,19.82,overcast clouds
478,Roma,US,43.2128,-75.4557,25.0,74,1,3.44,clear sky
479,Souillac,MU,-20.5167,57.5167,78.8,73,40,11.5,scattered clouds
480,Donskoye,RU,45.4552,41.9741,48.2,53,0,6.71,light rain
481,Pak Phanang,TH,8.3511,100.202,77.0,94,20,3.44,few clouds
482,Kununurra,AU,-15.7667,128.7333,86.0,89,98,5.75,overcast clouds
483,Ambilobe,MG,-13.2,49.05,74.05,93,71,1.95,broken clouds
484,Japura,ID,-0.3167,102.35,72.23,88,93,1.92,overcast clouds
485,Dukat,RU,62.55,155.55,-21.06,85,100,4.59,overcast clouds
486,Ishigaki,JP,24.3448,124.1572,68.0,64,40,12.66,scattered clouds
487,Sangueya,GN,10.7,-14.3667,69.94,83,19,1.79,few clouds
488,Carutapera,BR,-1.195,-46.02,79.12,83,58,7.25,broken clouds
489,Lugovoy,KZ,42.9472,72.7644,34.63,73,78,3.42,broken clouds
490,Puro,PH,12.4841,123.3827,79.47,81,75,15.52,broken clouds
491,Bonavista,CA,48.6499,-53.1147,39.2,100,95,6.73,overcast clouds
492,Dudinka,RU,69.4058,86.1778,-31.9,84,98,4.07,overcast clouds
493,Riohacha,CO,11.5444,-72.9072,79.47,75,28,9.15,scattered clouds
494,Severodvinsk,RU,64.5635,39.8302,5.0,78,40,13.42,light snow
495,Makubetsu,JP,45.3714,141.8211,15.8,86,75,25.32,snow
496,Najran,SA,17.4924,44.1277,60.8,31,0,0.38,clear sky
497,Vallenar,CL,-28.5708,-70.7581,69.04,54,64,2.89,broken clouds
498,Bud,US,39.447,-86.1758,35.01,96,100,18.03,snow
499,Verkhnevilyuysk,RU,63.4453,120.3167,-41.6,80,66,3.89,broken clouds
500,Ugep,NG,5.8086,8.0812,77.95,82,58,5.12,broken clouds
501,Kyabram,AU,-36.3167,145.05,82.99,53,86,1.01,overcast clouds
502,Vardo,NO,70.3705,31.1107,23.0,86,75,17.27,broken clouds
503,Izhma,RU,65.0083,53.9113,1.47,93,100,10.54,light snow
504,Poco Verde,BR,-10.7083,-38.1833,74.91,81,23,11.65,few clouds
505,Kuching,MY,1.55,110.3333,75.2,100,40,2.3,heavy intensity rain
506,Girau Do Ponciano,BR,-9.8842,-36.8289,76.5,75,9,12.21,clear sky
507,Rio Gallegos,AR,-51.6226,-69.2181,69.8,28,0,27.63,clear sky
508,Itambacuri,BR,-18.0311,-41.685,75.33,70,31,4.85,scattered clouds
509,Beloha,MG,-25.1667,45.05,78.31,77,66,4.07,broken clouds
510,Saa,CM,4.3667,11.45,71.65,92,11,1.9,few clouds
511,Manaure,CO,11.7751,-72.4445,81.73,71,15,20.29,few clouds
512,Prainha,BR,-1.8,-53.48,79.56,74,87,2.82,overcast clouds
513,Ankang,CN,32.68,109.0172,40.01,78,82,0.76,broken clouds
514,Nome,US,64.5011,-165.4064,6.01,72,90,14.97,light snow
515,Adrar,MR,20.5022,-10.0711,71.02,19,26,9.75,scattered clouds
516,Chardara,KZ,41.2547,67.9692,46.18,55,96,6.73,overcast clouds
517,Puerto Del Rosario,ES,28.5004,-13.8627,59.0,72,0,5.75,clear sky
518,Kirakira,SB,-10.4544,161.9205,84.22,73,100,9.48,overcast clouds
519,Algiers,DZ,36.7525,3.042,71.6,23,0,13.8,clear sky
520,Laibin,CN,23.7,109.2667,61.12,75,0,2.33,clear sky
521,Troitskoye,RU,52.9821,84.6757,8.58,93,100,2.17,overcast clouds
522,Te Anau,NZ,-45.4167,167.7167,70.34,52,84,1.12,broken clouds
523,Takab,IR,36.4009,47.1133,36.61,80,99,2.82,overcast clouds
524,Olinda,BR,-8.0089,-34.8553,78.8,69,40,6.91,scattered clouds
525,Birao,CF,10.2849,22.7882,77.9,17,64,13.89,broken clouds
526,Ust-Nera,RU,64.5667,143.2,-21.35,78,99,8.01,overcast clouds
527,Vila Franca Do Campo,PT,37.7167,-25.4333,55.4,62,20,9.22,few clouds
528,Stephenville,US,32.2207,-98.2023,57.0,44,1,6.91,clear sky
529,Mananjary,MG,-21.2167,48.3333,76.89,89,64,4.97,broken clouds
530,Belyy Yar,RU,53.6039,91.3903,8.6,85,100,2.24,mist
531,Carnot,CF,4.9409,15.8665,72.61,21,0,3.89,clear sky
532,Karasjok,NO,69.4719,25.5112,26.6,93,90,12.66,light snow
533,Saldanha,ZA,-33.0117,17.9442,62.6,82,0,6.91,clear sky
534,Tamuin,MX,21.9833,-98.75,77.67,67,0,5.88,clear sky
535,Huicheng,CN,23.0385,116.2899,53.6,94,8,2.24,mist
536,Sibenik,HR,43.7272,15.9058,51.01,93,0,2.3,clear sky
537,Sorong,ID,-0.8833,131.25,83.25,70,100,5.41,overcast clouds
538,Monywa,MM,22.1167,95.1333,60.62,52,12,4.83,few clouds
539,Aripuana,BR,-9.1667,-60.6333,76.17,94,72,0.87,broken clouds
540,Costa Rica,BR,-23.4167,-54.65,71.74,89,62,6.35,broken clouds
541,Riviere-Au-Renard,CA,48.9957,-64.3971,30.2,86,90,5.75,overcast clouds
542,Beringovskiy,RU,63.05,179.3167,-0.83,92,100,8.97,overcast clouds
543,Taltal,CL,-25.4,-70.4833,65.62,75,24,3.4,few clouds
544,Saint Stephen,GB,50.3333,-4.9,46.4,100,20,8.05,few clouds
545,Wagar,SD,16.1525,36.2032,68.0,24,0,16.62,clear sky
546,Saint-Francois,FR,46.4154,3.9054,46.0,93,100,1.81,overcast clouds
547,Minna,NG,9.6139,6.5569,82.4,12,0,16.11,clear sky
548,Votkinsk,RU,57.0486,53.9872,28.99,96,97,5.03,light snow
549,Muros,ES,42.7762,-9.0603,50.0,92,94,5.66,overcast clouds
550,Zhigansk,RU,66.7697,123.3711,-43.01,75,0,12.21,clear sky
551,Ambon,ID,-3.6954,128.1814,82.4,83,20,2.3,few clouds
552,Along,IN,28.1667,94.7667,53.42,59,22,1.45,few clouds
553,Maksatikha,RU,57.797,35.8825,2.71,94,63,5.7,broken clouds
554,Dzilam Gonzalez,MX,21.2833,-88.9333,75.22,64,2,7.16,clear sky
555,Santiago,CL,-33.4569,-70.6483,82.4,42,0,5.75,clear sky
556,Jacksonville,US,30.3322,-81.6556,57.99,58,75,5.75,broken clouds
557,Tiznit,MA,29.5833,-9.5,50.7,79,100,6.51,overcast clouds
558,Letka,RU,59.6011,49.4232,15.35,96,100,4.59,overcast clouds
559,Valdivia,CL,-39.8142,-73.2459,86.0,42,0,6.91,clear sky
560,Davila,PH,18.4726,120.5763,66.2,88,20,2.3,few clouds
561,Kondinskoye,RU,59.6481,67.41,13.03,96,100,7.2,light snow
562,Thika,KE,-1.0333,37.0693,55.0,80,12,8.01,few clouds
563,Dargaville,NZ,-35.9333,173.8833,71.38,64,67,7.2,broken clouds
564,Canberra,AU,-35.2835,149.1281,72.0,73,75,3.44,light rain
565,Son La,VN,21.3167,103.9,55.63,94,7,2.13,clear sky
566,Ocos,GT,14.5094,-92.1933,82.4,65,75,5.75,broken clouds
567,Anderson,US,34.5334,-82.6499,46.4,42,90,5.14,overcast clouds
568,Chino Valley,US,34.7575,-112.4538,52.0,32,1,13.8,clear sky
569,Decatur,US,39.8403,-88.9548,30.99,86,90,19.57,overcast clouds
570,Namatanai,PG,-3.6667,152.4333,84.76,69,78,3.27,light rain
571,Kathua,IN,32.3667,75.5167,51.4,71,100,2.73,overcast clouds
572,Kaeo,NZ,-35.1,173.7833,71.38,61,61,6.17,broken clouds
573,Eidsvoll,NO,60.3305,11.2616,10.0,78,75,9.22,broken clouds
574,Bemidji,US,47.4736,-94.8803,5.0,78,1,13.8,clear sky
575,Temyasovo,RU,52.9933,58.1014,33.8,100,90,13.42,light rain
576,Half Moon Bay,US,37.4636,-122.4286,60.8,71,1,13.8,clear sky
577,Eufaula,US,31.8913,-85.1455,59.0,44,75,4.61,broken clouds
578,Antalaha,MG,-14.9003,50.2788,74.41,88,83,4.56,broken clouds
579,Okha,RU,53.5739,142.9478,-11.15,88,100,22.46,overcast clouds
580,Jandaia Do Sul,BR,-23.6031,-51.6433,78.8,83,0,4.61,clear sky
581,Ende,ID,-8.8432,121.6623,79.95,76,100,4.88,overcast clouds
582,Erzin,TR,36.9559,36.2,55.0,65,42,13.0,scattered clouds
583,Monopoli,IT,40.9559,17.2896,54.0,100,90,10.36,mist
584,Grootfontein,NA,-19.5667,18.1167,73.4,73,88,4.61,overcast clouds
585,Atlantic Beach,US,30.3344,-81.3987,55.4,62,75,10.36,broken clouds
586,Kapit,MY,2.0167,112.9333,74.73,94,80,0.81,broken clouds
587,Ribeira Grande,PT,38.5167,-28.7,55.65,71,32,21.0,scattered clouds
588,Marsh Harbour,BS,26.5412,-77.0636,65.34,54,32,5.17,scattered clouds
589,Santa Cruz,BO,-17.8,-63.1667,80.6,57,20,9.22,few clouds
590,Hope,US,33.6671,-93.5916,54.0,51,77,7.0,broken clouds
591,Mae Chan,TH,20.1467,99.8526,60.8,100,0,1.95,clear sky
592,Cap Malheureux,MU,-19.9842,57.6142,79.0,76,13,5.01,few clouds
593,Leningradskiy,RU,69.3833,178.4167,-26.43,85,100,11.5,overcast clouds
594,Ormara,PK,25.2088,64.6357,67.93,37,0,6.8,clear sky
595,Moirang,IN,24.5,93.7667,47.93,81,0,1.28,clear sky
596,Huilong,CN,31.8111,121.655,48.0,83,100,1.99,overcast clouds
597,Necochea,AR,-38.5473,-58.7368,61.0,76,0,6.24,clear sky
598,Berbera,SO,10.4396,45.0143,71.31,63,0,3.6,clear sky
599,Dunedin,NZ,-45.8742,170.5036,55.99,69,37,25.01,scattered clouds
600,Harper,LR,4.375,-7.7169,78.76,90,17,8.01,few clouds
601,Morehead,US,37.2711,-87.1764,46.4,81,90,9.22,moderate rain
602,Maridi,SS,4.9158,29.4742,79.84,26,71,1.66,broken clouds
603,Poole,GB,50.7167,-2.0,46.0,90,54,7.2,broken clouds
604,Nago,JP,26.5881,127.9761,60.8,55,40,3.44,scattered clouds
605,Shache,CN,38.4167,77.2406,26.85,84,0,3.36,clear sky
606,Hohhot,CN,40.8106,111.6522,5.0,66,0,6.71,clear sky
607,Ibra,OM,22.6906,58.5334,54.82,86,0,2.26,clear sky
608,Coahuayana,MX,18.7333,-103.6833,78.8,69,1,4.52,clear sky
609,Port Moresby,PG,-9.4431,147.1797,82.4,78,20,11.5,few clouds
610,San Cristobal,VE,7.7669,-72.225,84.2,58,40,9.22,scattered clouds
611,Asau,RO,46.4333,26.4,39.2,87,0,11.5,light rain
612,Taluya,PH,5.8117,125.1728,81.03,72,74,8.16,broken clouds
613,Senador Jose Porfirio,BR,-2.5908,-51.9542,81.19,69,82,4.79,broken clouds
614,Auki,SB,-8.7676,160.7034,84.47,70,66,8.5,broken clouds
615,Coolidge,US,32.9778,-111.5176,70.0,17,1,12.66,clear sky
616,Lisakovsk,KZ,52.5369,62.4936,34.38,99,100,9.6,light rain
617,Nagato,JP,34.3833,131.2,42.8,81,0,3.44,clear sky
618,Gara,HU,46.0319,19.0428,41.0,93,0,8.05,clear sky
619,Dolinsk,RU,47.35,142.8,-5.8,84,75,2.24,snow
620,Moose Factory,CA,51.2585,-80.6094,33.8,59,75,9.22,broken clouds
621,Mildura,AU,-34.2,142.15,64.0,59,75,10.36,broken clouds
622,Faya,SA,18.3851,42.4509,59.0,67,0,9.22,clear sky
623,San Miguel Ixtahuacan,GT,15.25,-91.75,75.2,27,0,9.22,clear sky
624,Urucui,BR,-7.2294,-44.5561,78.58,77,50,4.61,scattered clouds
625,Egvekinot,RU,66.3167,-179.1667,-19.98,88,100,18.37,light snow
626,Srednekolymsk,RU,67.45,153.6833,-7.17,82,91,16.91,overcast clouds
627,Sinjai,ID,-5.1241,120.253,78.94,77,100,2.93,overcast clouds
628,Vestmannaeyjar,IS,63.4427,-20.2734,39.85,72,100,31.18,overcast clouds
629,San Antero,CO,9.3741,-75.7589,80.38,80,26,11.86,scattered clouds
630,Bulalacao,PH,12.3254,121.3435,79.3,78,54,22.66,broken clouds
631,Huarmey,PE,-10.0681,-78.1522,71.96,72,95,6.02,overcast clouds
632,Tarko-Sale,RU,64.9225,77.785,-24.63,86,45,7.81,scattered clouds
633,Vernon,CA,50.2581,-119.2691,37.0,72,100,1.54,overcast clouds
634,Canton,CN,23.1167,113.25,69.01,77,0,2.24,clear sky
635,Atar,MR,20.5169,-13.0499,65.44,28,84,6.35,broken clouds
636,Rudkobing,DK,54.9364,10.7102,33.01,86,90,13.8,light snow
637,Loukhi,RU,66.0764,33.0381,3.54,93,92,9.75,overcast clouds
638,Yarkovo,RU,57.4028,67.0786,16.2,97,100,5.55,light snow
639,Baie-Comeau,CA,49.2168,-68.1489,28.4,74,90,2.3,overcast clouds
640,Beirut,LB,33.8889,35.4944,59.0,88,40,4.61,scattered clouds
641,Pimenteiras,BR,-6.2453,-41.4192,75.47,69,58,1.54,broken clouds
642,Mchinji,MW,-13.7984,32.8802,63.39,97,38,2.28,scattered clouds
643,Mendoza,AR,-32.8908,-68.8272,84.2,23,0,5.75,clear sky
644,Fez,MA,34.0372,-4.9998,53.6,94,90,9.22,mist
645,Corinto,GR,37.9407,22.9573,53.01,87,0,5.73,clear sky
646,Nongan,CN,44.382,125.1685,15.8,62,0,13.42,clear sky
647,Deputatskiy,RU,69.3,139.9,-25.55,85,69,4.38,broken clouds
648,Derzhavinsk,KZ,51.1,66.3167,29.25,99,100,12.33,overcast clouds
649,Bondo,CD,3.8146,23.6866,71.4,80,100,1.9,overcast clouds
650,Kirkwall,GB,58.9848,-2.9587,37.4,65,75,23.02,broken clouds
651,Moranbah,AU,-22.0016,148.0466,83.77,56,45,12.1,scattered clouds
652,Mirabad,AF,30.4362,61.8383,43.52,60,0,3.33,clear sky
653,Saint-Georges,GD,12.0564,-61.7485,80.6,74,40,11.5,scattered clouds
654,Dalvik,IS,65.9702,-18.5286,26.6,63,0,13.8,clear sky
655,Hecun,CN,36.5333,114.1111,44.87,44,100,8.5,overcast clouds
656,Houston,US,29.7633,-95.3633,73.99,64,1,6.91,clear sky
657,Santa Rosa,PH,14.3122,121.1114,81.0,73,75,1.14,broken clouds
658,Khash,IR,28.2211,61.2158,37.18,60,0,0.94,clear sky
659,Ladario,BR,-19.0047,-57.6017,77.0,94,90,10.36,overcast clouds
660,Dumas,US,35.8656,-101.9732,46.99,24,1,2.55,clear sky
661,Sanmenxia,CN,34.7747,111.1814,39.83,63,85,6.38,overcast clouds
662,Benguela,AO,-12.5763,13.4055,73.47,84,1,3.0,clear sky
663,Richards Bay,ZA,-28.783,32.0377,74.71,91,100,8.61,overcast clouds
664,Xuanhua,CN,40.6103,115.0447,27.63,76,0,5.66,clear sky
665,Arman,RU,59.7,150.1667,-6.83,81,21,13.15,few clouds
666,Launceston,AU,-41.45,147.1667,73.4,68,90,8.05,overcast clouds
667,Marystown,CA,47.1666,-55.1483,42.35,97,94,4.65,overcast clouds
668,Buin,CL,-33.7333,-70.75,82.4,56,0,12.66,clear sky
669,Lappeenranta,FI,61.0587,28.1887,3.99,81,93,11.36,overcast clouds
670,Waddan,LY,29.1614,16.139,55.99,87,63,7.58,broken clouds
671,Huntsville,US,34.7304,-86.5861,54.0,62,90,19.57,overcast clouds
672,Urumqi,CN,43.801,87.6005,6.8,85,79,4.47,mist
673,Canyon,US,34.9803,-101.9188,46.0,31,59,2.08,broken clouds
674,Pereslavl-Zalesskiy,RU,56.7393,38.8563,12.4,96,100,6.67,snow
675,Behbahan,IR,30.5959,50.2417,46.4,87,0,1.97,clear sky
676,Makakilo City,US,21.3469,-158.0858,75.2,50,40,11.5,scattered clouds
677,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.02,84,37,9.06,scattered clouds
678,Kudahuvadhoo,MV,2.6708,72.8944,81.59,74,100,17.29,overcast clouds
679,Huoqiu,CN,32.3394,116.2694,46.65,85,100,3.76,overcast clouds
680,Bara,NG,10.3744,10.7288,72.93,21,0,10.89,clear sky
681,Andros Town,BS,24.7,-77.7667,59.0,77,0,3.44,clear sky
682,Lusambo,CD,-4.9667,23.45,70.83,92,89,1.57,overcast clouds
683,Gilbues,BR,-9.8317,-45.3439,76.3,78,70,2.48,broken clouds
684,Lazaro Cardenas,MX,17.9583,-102.2,78.69,70,0,7.07,clear sky
685,Sterling,US,39.0062,-77.4286,39.2,38,1,4.61,clear sky
686,Hovd,MN,48.0056,91.6419,17.8,81,83,6.64,broken clouds
687,Riberalta,BO,-10.9833,-66.1,75.52,96,100,3.36,moderate rain
